person_id,id,name,role,character
1462986,tm127384,Tracy Sneddon,Actor,Girl in Castle Anthrax
68725,tm94651,Iftekhar,Actor,Prosecuting Lawyer
48933,tm84618,Cybill Shepherd,Actor,Betsy
897392,tm190788,Yvonne Jones,Actor,Bellevue Nurse (uncredited)
889417,tm127384,Mary Allen,Actor,Girl in Castle Anthrax
47002,ts319303,Lily Franky,Actor,N/A
239853,tm674135,Lale Başar,Actor,N/A
104308,tm94651,Shatrughan Sinha,Actor,Ravi Kapoor
2235564,tm52352,T-Love,Actor,Self
1640,tm92641,Tom Hardy,Actor,Eames
1611881,tm848995,Esther Chae,Actor,N/A
63060,tm62385,Sooraj Barjatya,Director,Director
466061,tm84618,Annie Gagen,Actor,Campaign Worker (uncredited)
14176,tm189773,Om Puri,Actor,N/A
15793,tm204541,Omar Sharif,Actor,Ragab
26775,tm69778,Minoru Midorikawa,Actor,Servant (voice)
33594,tm96649,William Traylor,Actor,The Pinkertons
477969,tm96649,Tim Rossovich,Actor,Pitts
16449,tm96649,Edward Bunker,Actor,Chadwell
80681,tm98978,Chad Timmerman,Actor,Infant Paddy
711382,tm935993,Cres Chuang,Actor,N/A
2170048,tm81461,Mariana Epstein,Actor,N/A
553375,tm27298,Ahmad Mazhar,Actor,Saladin
84286,tm154797,Psy,Actor,Himself
1464056,tm127384,Gloria Graham,Actor,Girl in Castle Anthrax
113012,tm881587,Edwin,Director,Director
32267,tm156453,Peter Boyle,Actor,Himself
972450,tm244519,Jeff Mosley,Actor,N/A
29713,tm177068,Brian Tee,Actor,Sushi Chef
26773,tm69778,Kōhei Miyauchi,Actor,Gardener (voice)
354728,tm95507,Ken Ghosh,Director,Director
380230,tm28024,Gail Nicolas,Actor,Janis
1462991,tm127384,Alison Walker,Actor,Girl in Castle Anthrax
103549,tm96649,Kevin Brophy,Actor,John Younger
150319,tm356209,Padmini,Actor,Lata
26765,tm69778,Gorō Naya,Actor,Inspector Zenigata (voice)
40899,tm127384,Bee Duffell,Actor,Old Crone
12590,tm84906,Mark Heap,Actor,Tertius
11475,ts45948,Terry Jones,Actor,Various Characters
10532,tm96649,Keith Carradine,Actor,Jim Younger
55748,tm176507,Erik Roner,Actor,N/A
173252,tm75975,Shammi Kapoor,Actor,Prince Shamsher Singh
14610,tm96649,Allan Graf,Actor,Bank Customer Graf
534965,tm67378,Elizabeth Campbell,Actor,Mexican Girl (uncredited)
22345,tm119281,Gene Wilder,Actor,Eugene Grizzard
14081,tm185072,Audrey Hepburn,Actor,Eliza Doolittle
198741,tm188894,Hassan Mostafa,Actor,عبدالمعطي
1285952,tm1106551,Djimo,Actor,Self
744938,tm90896,Majida El Roumi,Actor,Tafida
26187,tm67378,Burt Lancaster,Actor,Dolworth
83043,tm14873,Laurie Mock,Actor,Third Nude (uncredited)
101889,tm67378,John Mckee,Actor,Sheriff (uncredited)
1171752,tm190788,Ann Miles,Actor,Spiderwalk (uncredited)
31821,tm96649,Ry Cooder,Actor,Wedding Band Guitar Player (uncredited)
43791,tm84618,Murray Moston,Actor,Iris' Time Keeper
2124,tm57169,Eddie Izzard,Actor,Self
15595,tm156453,Jane Fonda,Actor,Herself
845361,ts78767,Medhi Benatia,Actor,N/A
